epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,854.768,1.15539,2.76412,1.42819,0.45111,0.43794,0.4023,0.24219,1.45899,3.21762,1.48233,0.000413534,0.000413534,0.000413534
2,1697.06,1.22575,2.23883,1.45487,0.34128,0.37078,0.35044,0.2003,1.64903,4.20763,1.69497,0.000797325,0.000797325,0.000797325
3,2539.33,1.29531,2.09309,1.52195,0.36699,0.30981,0.30004,0.1711,1.74034,2.86196,1.71864,0.00114812,0.00114812,0.00114812
4,3381.49,1.28217,1.92558,1.50209,0.37256,0.37835,0.37969,0.22253,1.58916,2.4808,1.59966,0.0011015,0.0011015,0.0011015
5,4223.38,1.22897,1.77416,1.46013,0.56606,0.52593,0.5575,0.3413,1.44757,2.16537,1.50976,0.001052,0.001052,0.001052
6,5065.04,1.23194,1.63861,1.4654,0.57483,0.50875,0.54917,0.36318,1.37096,1.92518,1.46323,0.0010025,0.0010025,0.0010025
7,5903.37,1.15489,1.48927,1.39934,0.61091,0.59351,0.61757,0.41877,1.32946,1.86747,1.41022,0.000953,0.000953,0.000953
8,6742.67,1.11012,1.40945,1.37426,0.76399,0.54554,0.65309,0.44451,1.28866,1.57281,1.37439,0.0009035,0.0009035,0.0009035
9,7581.65,1.07923,1.33302,1.34535,0.76175,0.58337,0.69891,0.47777,1.28092,1.4677,1.38031,0.000854,0.000854,0.000854
10,8419.63,1.05024,1.24387,1.32514,0.69414,0.70242,0.75221,0.51633,1.28412,1.33262,1.35321,0.0008045,0.0008045,0.0008045
11,9259.58,1.03997,1.20852,1.31811,0.7684,0.68042,0.76931,0.52405,1.25401,1.36962,1.34013,0.000755,0.000755,0.000755
12,10099.8,1.00154,1.13077,1.29624,0.69451,0.70016,0.74183,0.52384,1.21971,1.32244,1.31578,0.0007055,0.0007055,0.0007055
13,10941.7,0.98641,1.09581,1.27108,0.78559,0.74438,0.82125,0.57311,1.16097,1.23743,1.26814,0.000656,0.000656,0.000656
14,11782.9,0.95099,1.05426,1.25854,0.79548,0.73709,0.82754,0.59076,1.17154,1.10195,1.28813,0.0006065,0.0006065,0.0006065
15,12622.5,0.91881,0.99331,1.23427,0.8071,0.72098,0.83251,0.59469,1.14285,1.09764,1.27899,0.000557,0.000557,0.000557
16,13456.2,0.87132,0.8807,1.24707,0.72967,0.76751,0.82348,0.57722,1.16676,1.13269,1.26623,0.0005075,0.0005075,0.0005075
17,14288.7,0.82459,0.77575,1.19385,0.79995,0.76779,0.85893,0.62223,1.08695,1.05357,1.22767,0.000458,0.000458,0.000458
18,15118.9,0.77815,0.70762,1.15964,0.81363,0.79279,0.86683,0.63036,1.12864,1.01234,1.27003,0.0004085,0.0004085,0.0004085
19,15949.9,0.77212,0.69153,1.1502,0.77119,0.79675,0.84507,0.61389,1.15534,1.0366,1.29312,0.000359,0.000359,0.000359
20,16779.5,0.73835,0.64511,1.13064,0.84312,0.71562,0.85782,0.62898,1.11976,1.00873,1.26175,0.0003095,0.0003095,0.0003095
21,17611.1,0.72937,0.6018,1.12085,0.85145,0.73584,0.86889,0.62434,1.10077,0.9192,1.24681,0.00026,0.00026,0.00026
22,18440.7,0.69689,0.57989,1.09922,0.87586,0.75316,0.87348,0.64717,1.09005,0.93045,1.23286,0.0002105,0.0002105,0.0002105
23,19271.2,0.67767,0.55052,1.08141,0.80362,0.8013,0.88278,0.65517,1.06882,0.88782,1.23473,0.000161,0.000161,0.000161
24,20101.4,0.65134,0.5336,1.06467,0.7651,0.84854,0.88292,0.6642,1.04597,0.87669,1.20807,0.0001115,0.0001115,0.0001115
25,20931.7,0.62042,0.50214,1.0451,0.806,0.82085,0.88409,0.66514,1.04911,0.85799,1.21677,6.2e-05,6.2e-05,6.2e-05
